"Workstream","Task","Acceptance Criteria","Priority","Owner","Status","Due Date","Notes / Evidence"
"Branding","Finalize Pixora positioning","Tagline, pronunciation, noun line, and brand language consistent across page/video/app","Medium","","Not Started","",""
"Branding","Finalize visual identity","Logo, colors, product images, and screenshots consistent and polished","Medium","","Not Started","",""
"Branding","Create press kit","Folder includes logo, product photos, short description, founder bio, and contact info","Medium","","Not Started","",""
"Community","Create prelaunch landing page","Email capture page live with product image, value prop, and Kickstarter follow link when available","High","","Not Started","",""
"Community","Build email list","Target number of qualified emails set and tracked before launch","High","","Not Started","",""
"Community","Create outreach list","Friends/family, smart-home communities, maker groups, local press, YouTube/TikTok creators, newsletters listed","High","","Not Started","",""
"Community","Draft launch email","Launch-day email written and tested","High","","Not Started","",""
"Community","Draft reminder emails","Mid-campaign and final-48-hour emails written","Medium","","Not Started","",""
"Community","Create social content bank","At least 20 posts/clips/images prepared for launch month","Medium","","Not Started","",""
"Community","Identify reviewers","List of 20 relevant reviewers/creators with contact status and sample unit decision","Medium","","Not Started","",""
"Software","Freeze demo software build","Stable version chosen for campaign video and prototype demos","High","","Not Started","",""
"Software","Create first-run setup docs","New user can configure server, Wi-Fi, and first card without help","High","","Not Started","",""
"Software","Create card library list","Public list of included cards and integrations is accurate","Medium","","Not Started","",""
"Software","Define update mechanism","How firmware/app/card updates reach backers after delivery is documented","High","","Not Started","",""
"Software","Confirm privacy story","Local-first behavior, API key storage, and network access are explained plainly","High","","Not Started","",""
"Software","Create known limitations list","Known bugs, unsupported integrations, and rough edges are documented internally","Medium","","Not Started","",""
"Support","Write quick-start guide","Printable or web quick-start draft complete","High","","Not Started","",""
"Support","Write troubleshooting guide","Wi-Fi, server not found, blank display, color order, API keys, and firmware update fixes documented","Medium","","Not Started","",""
"Support","Create support intake plan","Email/form/process for backer support chosen","Medium","","Not Started","",""
"Support","Draft warranty/replacement policy","Policy covers DOA, defects, shipping damage, and user damage boundaries","High","","Not Started","",""
"Finance","Create campaign budget spreadsheet","Line-item budget with best/base/worst case and funding goal calculation","High","","Not Started","",""
"Finance","Add Kickstarter and Stripe fee buffer","Budget includes 5% Kickstarter and 3-5% payment processing","High","","Not Started","",""
"Finance","Add failed payment/drop pledge buffer","Budget includes dropped pledges and failed payments assumption","Medium","","Not Started","",""
"Finance","Add contingency reserve","At least 10-20% contingency modeled for hardware surprises","High","","Not Started","",""
"Finance","Review tax reserve","Tax reserve estimated with professional guidance if possible","High","","Not Started","",""
"Review","Share preview link","Preview link sent to trusted reviewers for copy, pricing, and clarity feedback","High","","Not Started","",""
"Review","Run prelaunch QA pass","Every link, image, reward, delivery date, shipping rule, and typo checked","High","","Not Started","",""
"Review","Submit for Kickstarter review early","Continue/review step completed at least two business days before launch","High","","Not Started","",""
"Review","Final launch-day checklist","Bank verified, video encoded, rewards locked, outreach scheduled, support inbox ready","High","","Not Started","",""
